Name,Website,Category,Description,Delivery to,Made in,On-chain,Lightning,Liquid,Payment Provider,,,,
OpenSats,https://opensats.org/,Charity,"Funding free and open-source software and projects, particularly those related to Bitcoin, Nostr, and ""freedom tech,"" including protocol development and privacy tools.",Worldwide,United States,Yes,Yes,No,BTCPay Server,,,,
Stake,https://stake.com/,Gambling,"Play the best online casino games, slots & live casino games, or bet on sports",Worldwide,Curacoa,Yes,No,No,Self-hosted,,,,
Aqua Living,https://hottub.com/,"Hot tubs
Lifestyle","Discoverpremium hot tubs, swim spas, and cold tubs.",United States,United States,Yes,Yes,No,Speed,,,,
Mirai Flights,https://mirai.flights/,Travel,Instantly book private jets and empty legs worldwide with real-time fixed pricing.,Worldwide,United Kingdom,Yes,No,No,CoinsPaid,,,,
Rumble,https://rumble.com/,Social Media,"Your rights management video platform. Host, distribute and monetize all your professional, social and viral video.",Worldwide,United States,Yes,Yes,No,Self-hosted,,,,
Primal,https://rumble.com/,Social Media,"Social media app where you control your identity, content and algorithm with the right to exit.",Worldwide,,No,Yes,No,Strike,,,,
Dope Gallery,https://dope.gallery/,Art,"A wide selection of prints, sculptures, art toys, photography and original paintings by names such as Takashi Murakami, Banksy, Kaws, Bearbrick, Edgar Plans",Worldwide,,Yes,Yes,No,NOWPayments,,,,
St Judes Children's Research Hospital,https://www.stjude.org/,Charity,"A leading children's hospital,St.Judetreats the toughest childhood cancers and pediatric diseases.",Worldwide,United States,Yes,No,No,The Giving Block,,,,
Lomonds School,https://www.lomondschool.com/,Education,West Scotland's only day and boarding school welcomes families from around the world to enjoy a first-class education and lifestyle,United Kingdom,United Kingdom,Yes,Yes,No,CoinCorner,,,,
RPG Stash,https://www.rpgstash.com/,Gaming,Buy Game Items and Services since its launch in 2004.,Worldwide,United Arab Emirates,Yes,Yes,No,Open Node,,,,
Great Ghee,https://greatghee.com/,Food,"3rd party lab-tested, grass-fed, pasture-raised, ghee sourced and produced exclusively in Virginia, USA.",United States,United States,Yes,Yes,No,Strike,,,,
Pika Sim,https://pikasim.com/,Cellular,Privacy-first eSIM for 190+ countries. No account needed.,Worldwide,,Yes,Yes,No,BTCPay Server,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
